4.8		-0.731		-0.283
4.82		-0.732		-0.284
4.84		-0.734		-0.286
4.86		-0.735		-0.287
4.88		-0.738		-0.29
4.9		-0.739		-0.291
4.92		-0.741		-0.293
4.94		-0.743		-0.295
4.96		-0.744		-0.296
4.98		-0.747		-0.299
