[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:10 2025] >> testing accuracy: 0.9054
[Mon Aug 11 16:00:35 2025] >> testing accuracy: 0.8713
[Mon Aug 11 16:00:35 2025] >> testing accuracy: 0.8713
[Mon Aug 11 16:00:35 2025] >> testing accuracy: 0.8713
[Mon Aug 11 16:00:35 2025] >> testing accuracy: 0.8713
[Mon Aug 11 16:00:35 2025] >> testing accuracy: 0.8713
[Mon Aug 11 16:00:35 2025] >> testing accuracy: 0.8713
[Mon Aug 11 16:00:35 2025] >> testing accuracy: 0.8713
[Mon Aug 11 16:00:35 2025] >> testing accuracy: 0.8713
[Mon Aug 11 16:00:35 2025] >> testing accuracy: 0.8713
[Mon Aug 11 16:00:35 2025] >> testing accuracy: 0.8713
[Mon Aug 11 16:00:35 2025] >> testing accuracy: 0.8713
[Mon Aug 11 16:01:01 2025] >> testing accuracy: 0.8470
[Mon Aug 11 16:01:01 2025] >> testing accuracy: 0.8470
[Mon Aug 11 16:01:01 2025] >> testing accuracy: 0.8470
[Mon Aug 11 16:01:01 2025] >> testing accuracy: 0.8470
[Mon Aug 11 16:01:01 2025] >> testing accuracy: 0.8470
[Mon Aug 11 16:01:01 2025] >> testing accuracy: 0.8470
[Mon Aug 11 16:01:01 2025] >> testing accuracy: 0.8470
[Mon Aug 11 16:01:28 2025] >> testing accuracy: 0.8275
[Mon Aug 11 16:01:28 2025] >> testing accuracy: 0.8275
[Mon Aug 11 16:01:28 2025] >> testing accuracy: 0.8275
[Mon Aug 11 16:01:28 2025] >> testing accuracy: 0.8275
[Mon Aug 11 16:01:28 2025] >> testing accuracy: 0.8275
[Mon Aug 11 16:01:56 2025] >> testing accuracy: 0.8136
[Mon Aug 11 16:01:56 2025] >> testing accuracy: 0.8136
[Mon Aug 11 16:01:56 2025] >> testing accuracy: 0.8136
[Mon Aug 11 16:01:56 2025] >> testing accuracy: 0.8136
[Mon Aug 11 16:01:56 2025] >> testing accuracy: 0.8136
[Mon Aug 11 16:02:25 2025] >> testing accuracy: 0.7820
[Mon Aug 11 16:02:25 2025] >> testing accuracy: 0.7820
[Mon Aug 11 16:02:25 2025] >> testing accuracy: 0.7820
[Mon Aug 11 16:02:25 2025] >> testing accuracy: 0.7820
[Mon Aug 11 16:02:54 2025] >> testing accuracy: 0.7803
[Mon Aug 11 16:02:54 2025] >> testing accuracy: 0.7803
[Mon Aug 11 16:02:54 2025] >> testing accuracy: 0.7803
[Mon Aug 11 16:02:54 2025] >> testing accuracy: 0.7803
[Mon Aug 11 16:03:24 2025] >> testing accuracy: 0.7800
[Mon Aug 11 16:03:24 2025] >> testing accuracy: 0.7800
[Mon Aug 11 16:03:24 2025] >> testing accuracy: 0.7800
[Mon Aug 11 16:03:24 2025] >> testing accuracy: 0.7800
[Mon Aug 11 16:03:53 2025] >> testing accuracy: 0.7752
[Mon Aug 11 16:03:53 2025] >> testing accuracy: 0.7752
[Mon Aug 11 16:03:53 2025] >> testing accuracy: 0.7752
[Mon Aug 11 16:03:53 2025] >> testing accuracy: 0.7752
[Mon Aug 11 16:04:23 2025] >> testing accuracy: 0.7611
